State,Total_Cases,Total_Victims,Female_Population,Cases_per_1000_Females,Victims_per_1000_Females
andaman and nicobar islands,219.0,225.0,177710,1.232344831466997,1.266107703561983
andhra pradesh,13942.0,14372.0,24746590,0.5633907540392433,0.580766885457754
arunachal pradesh,647.0,692.0,669815,0.9659383561132552,1.0331210856729096
assam,32049.0,33678.0,15266133,2.099352861657893,2.206059648504307
bihar,24340.0,24463.0,49821295,0.4885461126612627,0.49101493648448924
chandigarh,901.0,931.0,474787,1.8976930707875321,1.960879299559592
chhattisgarh,13033.0,13284.0,12712303,1.0252272935910984,1.0449719456812823
delhi,25142.0,26014.0,7800615,3.223079205934404,3.3348652638285574
goa,632.0,674.0,719405,0.8785037635268034,0.9368853427485213
gujarat,8387.0,8559.0,28950110,0.28970528954812264,0.2956465450390344
haryana,18746.0,18869.0,11856728,1.5810432692729393,1.5914171262088495
himachal pradesh,2674.0,2769.0,3382729,0.7904860247451096,0.8185698588329127
jammu and kashmir,6171.016774574123,6264.917172475393,5783107,1.0670763613009622,1.0833133767843812
jharkhand,8469.0,8549.0,16057819,0.527406617299647,0.5323886139207323
karnataka,20491.0,21316.0,30128640,0.6801169916730393,0.7074995751550684
kerala,12793.0,13018.0,17378649,0.7361331712263709,0.749080092474392
ladakh,137.98322542587684,140.0828275246063,117533,1.1739956048588638,1.191859541784914
lakshadweep,2.0,2.0,31350,0.06379585326953749,0.06379585326953749
madhya pradesh,50125.0,51100.0,35021521,1.431262794097378,1.4591028185212174
maharashtra,60428.0,61853.0,54131277,1.1163231933360818,1.142648084950961
manipur,473.0,507.0,1417208,0.3337548193349177,0.3577456520143832
meghalaya,697.0,711.0,1475057,0.47252411262751204,0.48201527127426264
mizoram,216.0,224.0,541867,0.3986218020289112,0.41338557247442637
nagaland,279.0,311.0,953853,0.2924979006199068,0.3260460469275664
odisha,34250.0,34266.0,20765200,1.6493941787220927,1.6501646986304008
puducherry,231.0,231.0,635442,0.3635264902225538,0.3635264902225538
punjab,6479.0,6621.0,13103873,0.49443397383353765,0.5052704646939115
rajasthan,30610.0,31121.0,32997440,0.9276477205504428,0.9431337703773384
sikkim,288.0,336.0,287507,1.0017147408584834,1.1686671976682308
tamil nadu,4557.0,4624.0,36009055,0.12655150211523186,0.12841214522291683
telangana,15385.0,15563.0,17392041,0.8846000305542058,0.8948345970435557
the dadra and nagar haveli and daman and diu,139.0,142.0,242895,0.5722637353588998,0.5846147512299553
tripura,898.0,948.0,1799541,0.49901613800407996,0.5268010009219017
uttar pradesh,88363.0,93853.0,95331831,0.9268992221496302,0.9844875422564789
uttarakhand,4476.0,4562.0,4948519,0.9045130472369612,0.9218919842482164
west bengal,23421.0,23795.0,44467088,0.5267041547672292,0.5351148696761974
